businessDate,sectorName,turnOverValues,turnOverVolume,totalTransaction,business_date
2025-02-03,Commercial Banks,623503424.5,2239338,8472,2025-02-03
2025-02-03,Corporate Debenture,9575599.1,8624,117,2025-02-03
2025-02-03,Development Banks,1372430795.2,1711611,7870,2025-02-03
2025-02-03,Finance,426274790.9,752438,5891,2025-02-03
2025-02-03,Hotels And Tourism,122914383.3,168414,1103,2025-02-03
2025-02-03,Hydro Power,5253518038.18,11181496,50774,2025-02-03
2025-02-03,Investment,847516464.5,1203018,5426,2025-02-03
2025-02-03,Life Insurance,636322092.24,1085406,7681,2025-02-03
2025-02-03,Manufacturing And Processing,300837343.1,421267,3751,2025-02-03
2025-02-03,Microfinance,974354650.0,730795,10738,2025-02-03
2025-02-03,Mutual Fund,17337677.27,1842391,602,2025-02-03
2025-02-03,Non Life Insurance,552908935.1,704286,4027,2025-02-03
2025-02-03,Others,585901715.7,690654,4697,2025-02-03
2025-02-03,Promoter Share,128175955.3,907789,552,2025-02-03
2025-02-03,Tradings,20165708.1,3669,150,2025-02-03
1970-01-01,Preference Share,0.0,0,0,2025-02-04
2025-02-04,Commercial Banks,397584798.7,1437215,5305,2025-02-04
2025-02-04,Corporate Debenture,5969593.4,5564,99,2025-02-04
2025-02-04,Development Banks,602981018.7,839290,5006,2025-02-04
2025-02-04,Finance,278989693.4,503010,4146,2025-02-04
2025-02-04,Hotels And Tourism,99824677.6,123528,1116,2025-02-04
2025-02-04,Hydro Power,4406273103.34,9389621,45109,2025-02-04
2025-02-04,Investment,608373478.9,711270,3701,2025-02-04
2025-02-04,Life Insurance,517369935.9,854119,7248,2025-02-04
2025-02-04,Manufacturing And Processing,184549119.4,268981,2609,2025-02-04
2025-02-04,Microfinance,754312362.3,529267,6949,2025-02-04
2025-02-04,Mutual Fund,6973803.92,738455,451,2025-02-04
2025-02-04,Non Life Insurance,267011880.4,323567,2334,2025-02-04
2025-02-04,Others,684586830.4,761754,5521,2025-02-04
2025-02-04,Promoter Share,83208259.0,336987,443,2025-02-04
2025-02-04,Tradings,18248397.4,3347,99,2025-02-04
1970-01-01,Preference Share,0.0,0,0,2025-02-05
2025-02-05,Commercial Banks,327524336.5,1217757,4702,2025-02-05
2025-02-05,Corporate Debenture,6361091.42,5931,78,2025-02-05
2025-02-05,Development Banks,694455806.8,802971,4933,2025-02-05
2025-02-05,Finance,649225537.9,1142306,8366,2025-02-05
2025-02-05,Hotels And Tourism,71271901.2,95202,802,2025-02-05
2025-02-05,Hydro Power,4482756043.05,9905846,45083,2025-02-05
2025-02-05,Investment,521157321.8,674546,3560,2025-02-05
2025-02-05,Life Insurance,439053663.3,728688,6583,2025-02-05
2025-02-05,Manufacturing And Processing,211019079.6,287221,2570,2025-02-05
2025-02-05,Microfinance,631685924.9,498794,6848,2025-02-05
2025-02-05,Mutual Fund,22532352.1,2311946,465,2025-02-05
2025-02-05,Non Life Insurance,235539313.9,301221,1982,2025-02-05
2025-02-05,Others,578491942.5,649674,4248,2025-02-05
2025-02-05,Promoter Share,73299799.3,349711,376,2025-02-05
2025-02-05,Tradings,9157727.6,1685,87,2025-02-05
1970-01-01,Preference Share,0.0,0,0,2025-02-06
2025-02-06,Commercial Banks,337092398.8,1237860,5408,2025-02-06
2025-02-06,Corporate Debenture,6431324.6,5622,87,2025-02-06
2025-02-06,Development Banks,807144328.2,942406,4875,2025-02-06
2025-02-06,Finance,874341869.8,1431370,10870,2025-02-06
2025-02-06,Hotels And Tourism,77287609.4,98063,743,2025-02-06
2025-02-06,Hydro Power,4535525495.72,9601785,44167,2025-02-06
2025-02-06,Investment,376875669.9,460928,3054,2025-02-06
2025-02-06,Life Insurance,512972625.03,912027,6403,2025-02-06
2025-02-06,Manufacturing And Processing,202200197.9,287128,2782,2025-02-06
2025-02-06,Microfinance,642487488.2,530244,7078,2025-02-06
2025-02-06,Mutual Fund,12482224.82,1296708,463,2025-02-06
2025-02-06,Non Life Insurance,221612535.4,288366,2149,2025-02-06
2025-02-06,Others,474580021.1,578143,3699,2025-02-06
2025-02-06,Promoter Share,132043510.0,928427,295,2025-02-06
2025-02-06,Tradings,29289727.6,5414,194,2025-02-06
1970-01-01,Preference Share,0.0,0,0,2025-02-09
2025-02-09,Commercial Banks,355541851.5,1372315,4904,2025-02-09
2025-02-09,Corporate Debenture,4326475.4,3754,46,2025-02-09
2025-02-09,Development Banks,647669556.0,747429,4119,2025-02-09
2025-02-09,Finance,714099616.9,1166885,8320,2025-02-09
2025-02-09,Hotels And Tourism,70281666.8,83276,840,2025-02-09
2025-02-09,Hydro Power,3905339212.14,8494487,40753,2025-02-09
2025-02-09,Investment,806590929.5,801571,4276,2025-02-09
2025-02-09,Life Insurance,320849128.0,563191,5813,2025-02-09
2025-02-09,Manufacturing And Processing,135230847.1,195008,2130,2025-02-09
2025-02-09,Microfinance,715485016.9,523044,6654,2025-02-09
2025-02-09,Mutual Fund,7845248.93,828575,530,2025-02-09
2025-02-09,Non Life Insurance,246071677.2,307268,2143,2025-02-09
2025-02-09,Others,385098601.8,491838,3339,2025-02-09
2025-02-09,Promoter Share,49364791.3,176563,273,2025-02-09
2025-02-09,Tradings,32227613.2,6025,96,2025-02-09
1970-01-01,Preference Share,0.0,0,0,2025-02-10
2025-02-10,Commercial Banks,318082694.2,1219000,4528,2025-02-10
2025-02-10,Corporate Debenture,11910474.3,10778,123,2025-02-10
2025-02-10,Development Banks,641673735.6,793662,4563,2025-02-10
2025-02-10,Finance,559353824.7,885747,6578,2025-02-10
2025-02-10,Hotels And Tourism,84061415.5,92588,912,2025-02-10
2025-02-10,Hydro Power,3068099743.68,6439454,33732,2025-02-10
2025-02-10,Investment,441292640.1,501794,3113,2025-02-10
2025-02-10,Life Insurance,259438803.9,436881,4404,2025-02-10
2025-02-10,Manufacturing And Processing,211458097.1,322322,2854,2025-02-10
2025-02-10,Microfinance,510772495.0,446358,6027,2025-02-10
2025-02-10,Mutual Fund,19393226.65,2067466,492,2025-02-10
2025-02-10,Non Life Insurance,196065712.9,224204,1686,2025-02-10
2025-02-10,Others,563991136.1,742554,5355,2025-02-10
2025-02-10,Promoter Share,63780229.1,227481,362,2025-02-10
2025-02-10,Tradings,8260795.8,1540,79,2025-02-10
1970-01-01,Preference Share,0.0,0,0,2025-02-11
2025-02-11,Commercial Banks,296319965.5,1132329,4144,2025-02-11
2025-02-11,Corporate Debenture,2050739.3,1903,42,2025-02-11
2025-02-11,Development Banks,808356768.7,924081,5739,2025-02-11
2025-02-11,Finance,323475742.5,526576,4011,2025-02-11
2025-02-11,Hotels And Tourism,76988314.7,97585,974,2025-02-11
2025-02-11,Hydro Power,3416748704.4,6667839,34089,2025-02-11
2025-02-11,Investment,680686570.4,560997,3883,2025-02-11
2025-02-11,Life Insurance,237585583.0,415043,4432,2025-02-11
2025-02-11,Manufacturing And Processing,206788735.2,260263,2898,2025-02-11
2025-02-11,Microfinance,524280464.5,436103,5520,2025-02-11
2025-02-11,Mutual Fund,11891882.89,1255887,432,2025-02-11
2025-02-11,Non Life Insurance,203433657.0,247566,1749,2025-02-11
2025-02-11,Others,364244611.2,450988,3672,2025-02-11
2025-02-11,Promoter Share,67259894.3,269639,309,2025-02-11
2025-02-11,Tradings,16849107.6,3056,161,2025-02-11
1970-01-01,Preference Share,0.0,0,0,2025-02-12
2025-02-12,Commercial Banks,324226087.9,1126943,4815,2025-02-12
2025-02-12,Corporate Debenture,4216557.5,3880,74,2025-02-12
2025-02-12,Development Banks,1021027216.0,1130028,6876,2025-02-12
2025-02-12,Finance,559704481.3,949827,5526,2025-02-12
2025-02-12,Hotels And Tourism,80663579.4,100872,923,2025-02-12
2025-02-12,Hydro Power,4040585800.15,7876886,38095,2025-02-12
2025-02-12,Investment,963818054.7,787773,5449,2025-02-12
2025-02-12,Life Insurance,322495471.3,558782,6319,2025-02-12
2025-02-12,Manufacturing And Processing,145086429.7,209375,2287,2025-02-12
2025-02-12,Microfinance,585537496.4,447140,5726,2025-02-12
2025-02-12,Mutual Fund,11606384.45,1207224,438,2025-02-12
2025-02-12,Non Life Insurance,209065351.4,275102,1983,2025-02-12
2025-02-12,Others,344878600.0,444821,3628,2025-02-12
2025-02-12,Promoter Share,91212222.38,373961,565,2025-02-12
2025-02-12,Tradings,12325409.1,2312,127,2025-02-12
1970-01-01,Preference Share,0.0,0,0,2025-02-13
2025-02-13,Commercial Banks,280041742.3,1021908,4673,2025-02-13
2025-02-13,Corporate Debenture,2259796.7,2126,44,2025-02-13
2025-02-13,Development Banks,790443362.3,831753,4804,2025-02-13
2025-02-13,Finance,882002409.8,1440124,9760,2025-02-13
2025-02-13,Hotels And Tourism,75873454.9,92758,947,2025-02-13
2025-02-13,Hydro Power,3005708421.2,6411434,31524,2025-02-13
2025-02-13,Investment,947831176.9,1336637,5723,2025-02-13
2025-02-13,Life Insurance,355827715.7,611256,5422,2025-02-13
2025-02-13,Manufacturing And Processing,153264051.3,227505,2400,2025-02-13
2025-02-13,Microfinance,611117021.2,515094,6359,2025-02-13
2025-02-13,Mutual Fund,12127414.26,1290805,425,2025-02-13
2025-02-13,Non Life Insurance,234657387.1,289024,2082,2025-02-13
2025-02-13,Others,385111732.8,500528,3418,2025-02-13
2025-02-13,Promoter Share,159631112.0,724457,1104,2025-02-13
2025-02-13,Tradings,18816299.1,3511,120,2025-02-13
1970-01-01,Preference Share,0.0,0,0,2025-02-16
2025-02-16,Commercial Banks,390762582.8,1428265,5779,2025-02-16
2025-02-16,Corporate Debenture,1039790.3,959,37,2025-02-16
2025-02-16,Development Banks,733037793.4,849796,4870,2025-02-16
2025-02-16,Finance,1274192708.9,1996075,13746,2025-02-16
2025-02-16,Hotels And Tourism,132746525.2,200261,1350,2025-02-16
2025-02-16,Hydro Power,3629820074.6,7917212,37184,2025-02-16
2025-02-16,Investment,1002269682.7,1371588,6815,2025-02-16
2025-02-16,Life Insurance,362860087.8,597237,6690,2025-02-16
2025-02-16,Manufacturing And Processing,188954100.9,283029,2591,2025-02-16
2025-02-16,Microfinance,1039216326.4,886167,10052,2025-02-16
2025-02-16,Mutual Fund,36613849.57,4049669,623,2025-02-16
2025-02-16,Non Life Insurance,210796606.9,249679,2215,2025-02-16
2025-02-16,Others,277972158.2,344948,3245,2025-02-16
2025-02-16,Promoter Share,162227658.13,775755,867,2025-02-16
2025-02-16,Tradings,23649693.4,4463,149,2025-02-16
1970-01-01,Preference Share,0.0,0,0,2025-02-17
2025-02-17,Commercial Banks,687579419.4,2611541,9160,2025-02-17
